JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompAuxNum|CompAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|42100000|Personnel - rémunérations dues|D-2018-0009 Conseil|20180101|D-2018-0009 : NDF Alice Lousson 1/2018 (Conseil)|0|5,20|C||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0009 Conseil|20180101|D-2018-0009 : NDF Alice Lousson 1/2018 (Conseil)|1,18|0|||20180301||
CA|Crédit Agricole||20180105|51200000|Banques|51214000|Crédit agricole|D-2018-0027 FG|20180102|Free Telecom  - Prelevmnt  - Free Hautdebit 761892808  - Fr83zzz459654  - 19257561  - |0|29,99|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0009 Conseil|20180101|D-2018-0009 : NDF Alice Lousson 1/2018 (Conseil)|3,90|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0009 Conseil|20180101|D-2018-0009 : NDF Alice Lousson 1/2018 (Conseil)|0,12|0|||20180301||
CA|Crédit Agricole||20180105|61600000|Primes d'assurances|61630000|Assurance véhicule| ||Mma Iard Sa-Mma Iard  - Prelevmnt  - Fr58zzz106054  - Ms0010332708234  - |108,40|0|||20180301||
CA|Crédit Agricole||20180105|51200000|Banques|51214000|Crédit agricole| ||Assureo  - Prelevmnt  - Fr22zzz423116  - 000002284143ti0003883266  - |0|160,43|||20180301||
CA|Crédit Agricole||20180105|51200000|Banques|51214000|Crédit agricole| ||Mma Iard Sa-Mma Iard  - Prelevmnt  - Fr58zzz106054  - Ms0010332708234  - |0|108,40|||20180301||
SG|Société Générale||20180105|51200000|Banques|51215000|Soge|D-2017-0827 FG|20171010|CHEQUE      24|0|864,00|||20180301||
CA|Crédit Agricole||20180105|40100000|Fournisseurs|401BIR|Bird Office|D-2018-0036 |20180103|Carte Bird Office          03/01  - Avoir  - |-42,00|0|2017 2018 D||20180301||
CA|Crédit Agricole||20180105|40100000|Fournisseurs|401ZEN|zendesk|D-2017-1018 Conseil|20171230|Zendesk Inc Dublin 6       03/01  - Paiement Par Carte  - |1,82|0|B||20180301||
SG|Société Générale||20180105|40100000|Fournisseurs|401DIVER|FOURNISSEUR DIVERS|D-2017-0827 FG|20171010|CHEQUE      24|864,00|0|||20180301||
CA|Crédit Agricole||20180105|61600000|Primes d'assurances|61630000|Assurance véhicule| ||Assureo  - Prelevmnt  - Fr22zzz423116  - 000002284143ti0003883266  - |160,43|0|||20180301||
CA|Crédit Agricole||20180105|40100000|Fournisseurs|401ILIAD|Iliad - maison-mère de Free|D-2018-0027 FG|20180102|Free Telecom  - Prelevmnt  - Free Hautdebit 761892808  - Fr83zzz459654  - 19257561  - |29,99|0|B||20180301||
CA|Crédit Agricole||20180105|51200000|Banques|51214000|Crédit agricole|D-2017-1018 Conseil|20171230|Zendesk Inc Dublin 6       03/01  - Paiement Par Carte  - |0|1,82|||20180301||
CA|Crédit Agricole||20180105|51200000|Banques|51214000|Crédit agricole|D-2018-0036 |20180103|Carte Bird Office          03/01  - Avoir  - |0|-42,00|||20180301||
AC|Journal des achats||20180108|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0013 FG|20180108|D-2018-0013 : 04 79 336994|5,00|0|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800800093479  - Frais  - |0|0,22|||20180301||
AC|Journal des achats||20180108|40100000|Fournisseurs|401FRA|France Telecom Orange|D-2018-0013 FG|20180108|D-2018-0013 : 04 79 336994|0|30,00|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole|D-2018-0026 FG|20180111|Ctre Equip Savo 01 Arbin   05/01  - Paiement Par Carte  - |0|14,60|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole|D-2018-0025 FG|20180105|Intermarche Dac Chapareill 05/01  - Paiement Par Carte  - |0|65,60|||20180301||
AC|Journal des achats||20180108|62600000|Frais postaux et de télécommunications|62641000|Orange 04 79 33 69 94|D-2018-0013 FG|20180108|D-2018-0013 : 04 79 336994|25,00|0|||20180301||
AC|Journal des achats||20180102|40100000|Fournisseurs|401FRA|France Telecom Orange|D-2018-0012 FG|20180102|D-2018-0012 : Orange 04 79757629|0|51,56|A||20180301||
AC|Journal des achats||20180108|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0011 Web|20180108|D-2018-0011 : Eolas decembre|50,30|0|||20180301||
AC|Journal des achats||20180108|40100000|Fournisseurs|401EOL|Eolas|D-2018-0011 Web|20180108|D-2018-0011 : Eolas decembre|0|301,81|J||20180301||
AC|Journal des achats||20180102|62600000|Frais postaux et de télécommunications|62640000|Orange 04 79 75 76 29|D-2018-0012 FG|20180102|D-2018-0012 : Orange 04 79757629|42,97|0|||20180301||
AC|Journal des achats||20180102|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0012 FG|20180102|D-2018-0012 : Orange 04 79757629|8,59|0|||20180301||
AC|Journal des achats||20180108|62600000|Frais postaux et de télécommunications|62680000|1&1 hébergement|D-2018-0011 Web|20180108|D-2018-0011 : Eolas decembre|251,51|0|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| FG||Virement Emis  - Web Laetitia Guibert Ndf Decembr  - Ndf Decembre Laetitia  - 09/01/2018  - |0|111,80|||20180301||
CA|Crédit Agricole||20180108|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800800093480  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180108|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800800093479  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180108|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800800093481  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180108|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Virement Unitair N°1800800093482  - Frais  - |0,22|0|||20180301||
CA|Crédit Agricole||20180108|42100000|Personnel - rémunérations dues|42100000|Personnel - rémunérations dues| Conseil||Virement Emis  - Web Alice Lousson Ndf Decembre A  - Ndf Decembre Alice  - 09/01/2018  - |5,20|0|C||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole|D-2018-0011 Web|20180108|Virement Emis  - Web Eolas Eolas Facture Heb17120  - Eolas Facture Heb1712003687  - 09/01/2018  - |0|301,81|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole|D-2017-0959 Web|20171205|Virement Emis  - Web Katrien Sand Facture 2017/9/  - Facture 2017/9/45  - 09/01/2018  - |0|152,00|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800800093480  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180108|41100000|Clients|411CCA|CCA INTERNATIONAL|2017-206 Conseil|20171011|Cca International Fris11712sct00  - Virement En Votre Faveur  - Fris11712sct0018 - Cca International  -   |0|15789,00|C||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| Conseil||Virement Emis  - Web Alice Lousson Ndf Decembre A  - Ndf Decembre Alice  - 09/01/2018  - |0|5,20|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| FG||Virement Emis  - Web Alice Lousson Ndf Decembre A  - Ndf Decembre Alice  - 09/01/2018  - |0|86,02|||20180301||
CA|Crédit Agricole||20180108|40100000|Fournisseurs|401CES|CES Point S centre d'équipement savoyard|D-2018-0026 FG|20180111|Ctre Equip Savo 01 Arbin   05/01  - Paiement Par Carte  - |14,60|0|B||20180301||
CA|Crédit Agricole||20180108|40100000|Fournisseurs|401INT|intermarche chapareillan|D-2018-0025 FG|20180105|Intermarche Dac Chapareill 05/01  - Paiement Par Carte  - |65,60|0|B||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800800093481  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole| ||Virement Unitair N°1800800093482  - Frais  - |0|0,22|||20180301||
CA|Crédit Agricole||20180108|51200000|Banques|51214000|Crédit agricole|2017-206 Conseil|20171011|Cca International Fris11712sct00  - Virement En Votre Faveur  - Fris11712sct0018 - Cca International  -   |15789,00|0|||20180301||
CA|Crédit Agricole||20180108|40100000|Fournisseurs|401EOL|Eolas|D-2018-0011 Web|20180108|Virement Emis  - Web Eolas Eolas Facture Heb17120  - Eolas Facture Heb1712003687  - 09/01/2018  - |301,81|0|J||20180301||
CA|Crédit Agricole||20180108|42100000|Personnel - rémunérations dues|42100000|Personnel - rémunérations dues| FG||Virement Emis  - Web Alice Lousson Ndf Decembre A  - Ndf Decembre Alice  - 09/01/2018  - |86,02|0|C||20180301||
CA|Crédit Agricole||20180108|40100000|Fournisseurs|401KAT|Katrien Sand-Servranckx|D-2017-0959 Web|20171205|Virement Emis  - Web Katrien Sand Facture 2017/9/  - Facture 2017/9/45  - 09/01/2018  - |152,00|0|A||20180301||
CA|Crédit Agricole||20180108|42100000|Personnel - rémunérations dues|42100000|Personnel - rémunérations dues| FG||Virement Emis  - Web Laetitia Guibert Ndf Decembr  - Ndf Decembre Laetitia  - 09/01/2018  - |111,80|0|2017-2018 B||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|1,53|0|||20180301||
AC|Journal des achats||20180101|60600000|Achats non stockés|60680000|Autres matières et fournitures|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|26,54|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|0,87|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|1,53|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|0,80|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|0,52|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|0|338,34|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|4,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|3,36|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|1,90|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|0,52|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|0,34|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|5,18|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|6,50|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|61,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|61,20|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|32,50|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|9,50|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|0|308,35|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|55,00|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|9,37|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|8,68|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|7,67|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|6,63|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|15,97|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|30,91|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|55,00|0|||20180301||
AC|Journal des achats||20180101|60600000|Achats non stockés|60640000|Achats fournitures administatives|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|46,77|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|45,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|45,00|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0017 Conseil|20180101|D-2018-0017 : NDF Geoffroy Murat 1/2018 (Conseil)|3,09|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|1,62|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|2,29|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|1,90|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|1,90|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|3,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|3,09|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|6,91|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|3,45|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0016 EV|20180101|D-2018-0016 : NDF Geoffroy Murat 1/2018 (EV)|126,15|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0,98|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0,31|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0|161,86|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0,35|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0,46|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0,69|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|0,60|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|8,24|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|9,50|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|1,46|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|1,18|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|2,93|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|3,33|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|10,17|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|5,64|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|0,67|0|||20180301||
AC|Journal des achats||20180101|44500000|Etat - Taxes sur le chiffre d'affaires|44566000|TVA sur achats|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|0,56|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|11,72|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|9,50|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|16,18|0|||20180301||
AC|Journal des achats||20180101|60700000|Achats de marchandises|607|Achats de marchandises|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|30,17|0|||20180301||
AC|Journal des achats||20180101|42100000|Personnel - rémunérations dues|421NFMUR|Note de frais Geoffroy Murat|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|0|71,69|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0019 FC|20180101|D-2018-0019 : NDF Geoffroy Murat 1/2018 (FC)|49,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0018 FG|20180101|D-2018-0018 : NDF Geoffroy Murat 1/2018 (FG)|19,21|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|45,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|55,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|52,00|0|||20180301||
CA|Crédit Agricole||20180109|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Carte Business I N°1800900057578  - Cotisation  - |54,70|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|58,30|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|61,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|46,34|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|45,00|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|18,40|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|18,77|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|26,91|0|||20180301||
AC|Journal des achats||20180101|62500000|Déplacements, missions et réceptions|62510000|Voyages et déplacements|D-2018-0014 FC|20180101|D-2018-0014 : NDF Geoffroy Murat 1/2018 (FC)|34,00|0|||20180301||
VE|Journal des ventes||20180109|70600000|Prestations de services|70600200|PS Conseil 19.6%|2018-004 Web|20180109|2018-004 : Licences Panorama|0|500,00|||20180301||
VE|Journal des ventes||20180109|41100000|Clients|411SPFA|SPF Affaires étrangères|2018-004 Web|20180109|2018-004 : Licences Panorama|500,00|0|||20180301||
CA|Crédit Agricole||20180109|51200000|Banques|51214000|Crédit agricole| ||Eng Garantie     N°1800900057579  - Prelevement  - |0|29,48|||20180301||
CA|Crédit Agricole||20180109|40100000|Fournisseurs|401ADOBE|Adobe|D-2017-1015 FG|20171107|Paypal (europe) S.A.R.L. Et Cie., S  - Prelevmnt  - 1002345967832 Paypal  - Lu96zzz0000000000000000058  - 4ajj224myykr2  - |24,99|0|Q||20180301||
CA|Crédit Agricole||20180109|62700000|Services bancaires et assimilés|627|Services bancaires et assimilés| ||Eng Garantie     N°1800900057579  - Prelevement  - |29,48|0|||20180301||
CA|Crédit Agricole||20180109|64400000|Rémunération Gérant|64411000|Loi Madelin Gérante| ||V - Predica  - Prelevmnt  - De88196727669946/01/ucp132180103/pr  - Edicaaccordance Multisupports  - Prime Period. Ucmad1ucmad1  - Fr88zzz237434  - /81000574659/26102013/01  - |32,75|0|||20180301||
CA|Crédit Agricole||20180109|51200000|Banques|51214000|Crédit agricole| ||Carte Business I N°1800900057578  - Cotisation  - |0|54,70|||20180301||
CA|Crédit Agricole||20180109|51200000|Banques|51214000|Crédit agricole|D-2017-1015 FG|20171107|Paypal (europe) S.A.R.L. Et Cie., S  - Prelevmnt  - 1002345967832 Paypal  - Lu96zzz0000000000000000058  - 4ajj224myykr2  - |0|24,99|||20180301||
VE|Journal des ventes||20180109|70600000|Prestations de services|70600200|PS Conseil 19.6%|2018-005 Web|20180109|2018-005 : Licences Panorama|0|600,00|||20180301||
